"grid","sp","mean","sd","ncams","t","d"
"139",3,"TATO",38.6507936507937,23.8294739766769,63,0,6
"140",4,"TATO",23.53125,23.3727345901634,64,0,6
"141",5,"TATO",66.1269841269841,36.6467408503315,63,0,6
"142",6,"TATO",19.921875,25.1908932193854,64,0,6
"143",7,"TATO",106.28125,42.6713050864135,64,0,6
"144",8,"TATO",66.8225806451613,32.8171907137989,62,0,6
"145",1,"PEMA",25.0416666666667,27.2611830530019,24,0,7
"146",2,"PEMA",80.8,81.5935046434457,25,0,7
"147",3,"PEMA",103.291666666667,69.6547255905976,24,0,7
"148",4,"PEMA",67.12,52.921577199979,25,0,7
"149",5,"PEMA",134.791666666667,100.035202137381,24,0,7
"150",6,"PEMA",48,37.5266571919216,25,0,7
"151",7,"PEMA",90.6,62.8165317943188,25,0,7
"152",8,"PEMA",170.28,76.292485431616,25,0,7
"153",1,"GLOR",16.125,21.8017765403983,64,0,7
"154",2,"GLOR",7.82258064516129,14.1659071145704,62,0,7
"155",3,"GLOR",17.8412698412698,21.810922352009,63,0,7
"156",4,"GLOR",9.09375,10.8506729364866,64,0,7
"157",5,"GLOR",8.3968253968254,13.9162699889197,63,0,7
"158",6,"GLOR",4.515625,9.61644125757119,64,0,7
"159",7,"GLOR",4.015625,8.34283684290311,64,0,7
"160",8,"GLOR",8.33870967741935,15.226103070097,62,0,7
"161",1,"TATO",30.015625,25.7500144475225,64,0,7
"162",2,"TATO",42.3709677419355,22.4442726061375,62,0,7
"163",3,"TATO",39,24.1092941521756,63,0,7
"164",4,"TATO",23.625,23.4551243258879,64,0,7
"165",5,"TATO",68.3492063492064,37.1288770019304,63,0,7
"166",6,"TATO",20.15625,25.5499627247888,64,0,7
"167",7,"TATO",106.46875,42.6882269744507,64,0,7
"168",8,"TATO",68.741935483871,33.3117098910371,62,0,7
"169",1,"PEMA",26.625,29.045410473347,24,0,8
"170",2,"PEMA",80.96,81.694797875997,25,0,8
