"sp","g","t","m","a","sa","N","SE","LCI","UCI","model"
"DEER MOUSE",7,30,24.09,9.59931088596881,78400,160.591336150693,21.654728983862,123.440458750038,208.923212922336,"ste"
"DEER MOUSE",7,60,24.09,9.59931088596881,78400,199.100781640555,25.9165398997884,154.431844418291,256.690071916185,"ste"
"DEER MOUSE",7,1440,24.09,9.59931088596881,78400,560.30447112851,32.9590809742648,499.339280265521,628.713006915184,"tte"
"DEER MOUSE",8,1,24.09,9.59931088596881,78400,21.2895944328301,5.49809430921583,12.9382900228993,35.0314323076849,"ste"
"DEER MOUSE",8,5,24.09,9.59931088596881,78400,87.5754026209544,13.2031708381625,65.278488092067,117.488185899856,"ste"
"DEER MOUSE",8,15,24.09,9.59931088596881,78400,142.757638915673,19.2481608118589,109.735058482809,185.717707271922,"ste"
"DEER MOUSE",8,30,24.09,9.59931088596881,78400,204.310414445735,25.9497113642819,159.444167676934,261.801645423415,"ste"
"DEER MOUSE",8,60,24.09,9.59931088596881,78400,296.663480710703,36.4866743573403,233.327262579093,377.192188407716,"ste"
"DEER MOUSE",8,1440,24.09,9.59931088596881,78400,691.409457471649,38.5307362247581,619.919949199799,771.143175015273,"tte"
"TOWNSENDS CHIPMUNK",1,1,86.58,9.59931088596881,78400,6.232286935734,3.11492437464663,2.46995959460498,15.7255205850979,"ste"
"TOWNSENDS CHIPMUNK",1,5,86.58,9.59931088596881,78400,21.8591086582109,6.06338042036915,12.8197535666652,37.2722165716144,"ste"
"TOWNSENDS CHIPMUNK",1,15,86.58,9.59931088596881,78400,50.1684433221414,9.83618159603431,34.2854329194774,73.4093896751437,"ste"
"TOWNSENDS CHIPMUNK",1,30,86.58,9.59931088596881,78400,62.3837194860923,11.585384774282,43.4838931083473,89.4981607838693,"ste"
"TOWNSENDS CHIPMUNK",1,60,86.58,9.59931088596881,78400,94.3123936101671,15.3011602934629,68.7644636029097,129.352097325205,"ste"
"TOWNSENDS CHIPMUNK",1,1440,86.58,9.59931088596881,78400,62.4057607699057,5.720725761161,52.1623239534614,74.6607643621343,"tte"
"TOWNSENDS CHIPMUNK",2,1,86.58,9.59931088596881,78400,6.18751887015547,3.09370740020247,2.45145545120964,15.617411994837,"ste"
"TOWNSENDS CHIPMUNK",2,5,86.58,9.59931088596881,78400,25.2672460954346,6.52769196080116,15.3529451604129,41.583795068417,"ste"
"TOWNSENDS CHIPMUNK",2,15,86.58,9.59931088596881,78400,55.3624110830725,10.4633415705236,38.3483610564061,79.9250991828007,"ste"
"TOWNSENDS CHIPMUNK",2,30,86.58,9.59931088596881,78400,95.4013729870681,15.0851059641726,70.1113177026601,129.813876932346,"ste"
"TOWNSENDS CHIPMUNK",2,60,86.58,9.59931088596881,78400,183.918491072459,25.5057831092568,140.326755401697,241.051759955117,"ste"
"TOWNSENDS CHIPMUNK",2,1440,86.58,9.59931088596881,78400,73.3320048018744,5.79740305329067,62.8208394659548,85.6018953897689,"tte"
"TOWNSENDS CHIPMUNK",3,1,86.58,9.59931088596881,78400,12.4616474074002,4.40591110502679,6.35972525555508,24.4181391280575,"ste"
"TOWNSENDS CHIPMUNK",3,5,86.58,9.59931088596881,78400,33.294222332781,7.63723637853395,21.3603898121479,51.8953656975975,"ste"
"TOWNSENDS CHIPMUNK",3,15,86.58,9.59931088596881,78400,71.2555583636733,12.4047078563102,50.7851915208921,99.9770690168632,"ste"
"TOWNSENDS CHIPMUNK",3,30,86.58,9.59931088596881,78400,103.223742679426,16.5123158939509,75.5914713214697,140.956921018709,"ste"
"TOWNSENDS CHIPMUNK",3,60,86.58,9.59931088596881,78400,145.225718080756,21.1881622498036,109.271248720435,193.010599211051,"ste"
"TOWNSENDS CHIPMUNK",3,1440,86.58,9.59931088596881,78400,79.4866817355623,6.18802874382847,68.2538709313699,92.5681208569626,"tte"
"TOWNSENDS CHIPMUNK",4,1,86.58,9.59931088596881,78400,14.2194639025927,4.737228848009,7.52883282460173,26.8558431814871,"ste"
"TOWNSENDS CHIPMUNK",4,5,86.58,9.59931088596881,78400,23.2880434585605,6.22454935498761,13.9164583420685,38.9706170059352,"ste"
"TOWNSENDS CHIPMUNK",4,15,86.58,9.59931088596881,78400,51.0969147450024,9.83319276353046,35.1618471154397,74.2536274583707,"ste"
"TOWNSENDS CHIPMUNK",4,30,86.58,9.59931088596881,78400,72.5261390879065,12.8237001891243,51.4213575705363,102.292920675674,"ste"
"TOWNSENDS CHIPMUNK",4,60,86.58,9.59931088596881,78400,95.1427200845153,15.2369434902734,69.6492951603435,129.967391116321,"ste"
"TOWNSENDS CHIPMUNK",4,1440,86.58,9.59931088596881,78400,61.3201006599241,5.50670668964858,51.4416343816646,73.0955536335653,"tte"
"TOWNSENDS CHIPMUNK",5,1,86.58,9.59931088596881,78400,28.7081093669783,7.66381407368384,17.1658812657721,48.0112573695653,"ste"
"TOWNSENDS CHIPMUNK",5,5,86.58,9.59931088596881,78400,128.753547575258,20.355028913452,94.627510949449,175.186643364952,"ste"
"TOWNSENDS CHIPMUNK",5,15,86.58,9.59931088596881,78400,337.958662751335,46.4189333606942,258.519891977456,441.807618187582,"ste"
"TOWNSENDS CHIPMUNK",5,30,86.58,9.59931088596881,78400,478.902918823421,65.1676195906904,367.237813868511,624.521759460507,"ste"
"TOWNSENDS CHIPMUNK",5,60,86.58,9.59931088596881,78400,635.600206596192,86.4868759696222,487.403591564986,828.856474627061,"ste"
"TOWNSENDS CHIPMUNK",5,1440,86.58,9.59931088596881,78400,118.831765594974,7.15283054140675,105.618896251088,133.697558066209,"tte"
"TOWNSENDS CHIPMUNK",6,1,86.58,9.59931088596881,78400,3.06394131275819,2.16434360693104,0.880458169784987,10.6623309206375,"ste"
"TOWNSENDS CHIPMUNK",6,5,86.58,9.59931088596881,78400,14.1533284741303,4.71663916691033,7.4924314688997,26.7358744258284,"ste"
"TOWNSENDS CHIPMUNK",6,15,86.58,9.59931088596881,78400,36.5826409397035,8.18113133381632,23.7263786586231,56.4051361304934,"ste"
"TOWNSENDS CHIPMUNK",6,30,86.58,9.59931088596881,78400,54.8331966880257,10.3631476536609,37.9820154633594,79.1606085761354,"ste"
"TOWNSENDS CHIPMUNK",6,60,86.58,9.59931088596881,78400,77.3140382662745,13.2623316678928,55.3731497081227,107.948717827083,"ste"
"TOWNSENDS CHIPMUNK",6,1440,86.58,9.59931088596881,78400,50.0607559536714,6.57329819238456,38.7439995151748,64.6830300953183,"tte"
"TOWNSENDS CHIPMUNK",7,1,86.58,9.59931088596881,78400,17.5151988156294,5.83746446258648,9.27167216074393,33.0881187591958,"ste"
"TOWNSENDS CHIPMUNK",7,5,86.58,9.59931088596881,78400,62.7914678826825,12.5558527762651,42.594727250538,92.5647067927204,"ste"
"TOWNSENDS CHIPMUNK",7,15,86.58,9.59931088596881,78400,103.7786336937,17.5432453095568,74.6838030214318,144.208039435815,"ste"
"TOWNSENDS CHIPMUNK",7,30,86.58,9.59931088596881,78400,152.962904536492,23.9004787041246,112.81959141678,207.389956570611,"ste"
"TOWNSENDS CHIPMUNK",7,60,86.58,9.59931088596881,78400,245.053338755132,35.3678166917992,184.943741579535,324.699491435411,"ste"
"TOWNSENDS CHIPMUNK",7,1440,86.58,9.59931088596881,78400,131.836390267726,9.77236179455059,114.031624691727,152.421171283067,"tte"
"TOWNSENDS CHIPMUNK",8,1,86.58,9.59931088596881,78400,11.2432904590194,4.25160384297817,5.49164373653895,23.0188967839976,"ste"
