"mean","sd","X2.5.","X50.","X97.5.","overlap0","f","Rhat","n.eff","param","sp","grid","mode"
"N14",118.61,16.878,89,117,155,FALSE,1,1.004,1052,"N","PEMA","7","119.8919"
"D14",36.051,5.13,27.052,35.562,47.112,FALSE,1,1.004,1052,"D","PEMA","7","36.4412"
"deviance14",593.071,22.047,552.782,592.119,639.361,FALSE,1,1.001,3217,"deviance","PEMA","7",NA
"lam015",0.033,0.007,0.021,0.033,0.048,FALSE,1,1.015,153,"lam0","PEMA","8",NA
"sigma15",9.561,0.863,8.052,9.511,11.327,FALSE,1,1.009,275,"sigma","PEMA","8",NA
"psim15",0.309,0.048,0.227,0.305,0.416,FALSE,1,1.003,868,"psim","PEMA","8",NA
"N15",157.101,22.48,120,155,206,FALSE,1,1.005,716,"N","PEMA","8","156.0723"
"D15",60.179,8.611,45.967,59.374,78.91,FALSE,1,1.005,716,"D","PEMA","8","59.78456"
"deviance15",609.283,27.789,558.246,608.635,665.49,FALSE,1,1.011,179,"deviance","PEMA","8",NA
"lam016",0.011,0.005,0.004,0.01,0.022,FALSE,1,1.002,1547,"lam0","PEMA","9",NA
"sigma16",12.497,2.453,8.982,12.079,19.016,FALSE,1,1.033,153,"sigma","PEMA","9",NA
"psim16",0.534,0.156,0.285,0.51,0.866,FALSE,1,1.023,146,"psim","PEMA","9",NA
"N16",149.634,43.064,82,142,242,FALSE,1,1.024,142,"N","PEMA","9","117.8183"
"D16",52.258,15.04,28.638,49.592,84.516,FALSE,1,1.024,142,"D","PEMA","9","41.14687"
"deviance16",347.544,27.055,297.507,346.891,401.62,FALSE,1,1.003,1336,"deviance","PEMA","9",NA
"lam017",0.272,0.041,0.199,0.27,0.355,FALSE,1,1.007,305,"lam0","TATO","1",NA
"sigma17",26.394,1.737,23.285,26.309,30.073,FALSE,1,1.003,651,"sigma","TATO","1",NA
"psim17",0.214,0.037,0.148,0.212,0.293,FALSE,1,1.004,544,"psim","TATO","1",NA
"N17",61.733,8.481,47,61,80,FALSE,1,1.002,1007,"N","TATO","1","55.97612"
"D17",2.192,0.301,1.669,2.166,2.841,FALSE,1,1.002,1007,"D","TATO","1","1.987653"
"deviance17",377.273,14.018,352.169,376.456,406.994,FALSE,1,1.004,481,"deviance","TATO","1",NA
"lam018",0.203,0.022,0.162,0.202,0.249,FALSE,1,1.002,5951,"lam0","TATO","2",NA
"sigma18",34.973,1.684,31.908,34.891,38.403,FALSE,1,1.001,2826,"sigma","TATO","2",NA
"psim18",0.224,0.029,0.169,0.223,0.285,FALSE,1,1.001,2925,"psim","TATO","2",NA
"N18",122.58,12.907,100,122,150,FALSE,1,1.001,2037,"N","TATO","2","120.9695"
"D18",3.574,0.376,2.916,3.557,4.373,FALSE,1,1.001,2037,"D","TATO","2","3.527037"
"deviance18",829.675,19.146,793.893,828.968,869.976,FALSE,1,1.003,885,"deviance","TATO","2",NA
"lam019",0.201,0.021,0.162,0.2,0.245,FALSE,1,1.003,623,"lam0","TATO","3",NA
"sigma19",33.427,1.501,30.693,33.36,36.598,FALSE,1,1.002,1363,"sigma","TATO","3",NA
"psim19",0.224,0.028,0.173,0.224,0.282,FALSE,1,1.001,4156,"psim","TATO","3",NA
"N19",129.707,12.545,107,129,156,FALSE,1,1,6000,"N","TATO","3","128.0302"
"D19",3.885,0.376,3.205,3.864,4.673,FALSE,1,1,6000,"D","TATO","3","3.835027"
"deviance19",906.525,20.139,870.296,905.528,949.236,FALSE,1,1.001,2088,"deviance","TATO","3",NA
"lam020",0.1,0.019,0.067,0.098,0.141,FALSE,1,1.004,589,"lam0","TATO","4",NA
"sigma20",38.491,3.358,32.772,38.126,45.82,FALSE,1,1.002,750,"sigma","TATO","4",NA
"psim20",0.22,0.039,0.15,0.218,0.301,FALSE,1,1.007,297,"psim","TATO","4",NA
"N20",69.953,9.944,53,69,91,FALSE,1,1.004,458,"N","TATO","4","69.02577"
"D20",2.258,0.321,1.711,2.227,2.938,FALSE,1,1.004,458,"D","TATO","4","2.228245"
"deviance20",398.709,17.28,367.536,397.668,434.835,FALSE,1,1.005,434,"deviance","TATO","4",NA
"lam021",0.178,0.016,0.148,0.177,0.211,FALSE,1,1.001,1351,"lam0","TATO","5",NA
"sigma21",31.902,1.264,29.538,31.885,34.505,FALSE,1,1.001,6000,"sigma","TATO","5",NA
"psim21",0.25,0.027,0.2,0.25,0.306,FALSE,1,1.003,708,"psim","TATO","5",NA
"N21",207.31,18.544,173,207,247,FALSE,1,1.002,952,"N","TATO","5","207.0485"
"D21",5.881,0.526,4.908,5.872,7.007,FALSE,1,1.002,952,"D","TATO","5","5.873676"
"deviance21",1191.627,24.086,1147.263,1190.965,1241.026,FALSE,1,1,3099,"deviance","TATO","5",NA
"lam022",0.06,0.018,0.031,0.057,0.101,FALSE,1,1.001,5709,"lam0","TATO","6",NA
"sigma22",38.74,5.368,29.933,38.133,50.618,FALSE,1,1.001,3270,"sigma","TATO","6",NA
"psim22",0.297,0.072,0.177,0.291,0.451,FALSE,1,1.001,4008,"psim","TATO","6",NA
"N22",56.07,12.231,36,55,83.025,FALSE,1,1.001,3707,"N","TATO","6","49.00434"
"D22",1.658,0.362,1.064,1.626,2.455,FALSE,1,1.001,3707,"D","TATO","6","1.448966"
"deviance22",229.873,15.375,203.052,228.857,262.256,FALSE,1,1.002,1385,"deviance","TATO","6",NA
"lam023",0.134,0.012,0.113,0.134,0.158,FALSE,1,1.001,1480,"lam0","TATO","7",NA
"sigma23",38.435,1.524,35.687,38.347,41.714,FALSE,1,1.004,626,"sigma","TATO","7",NA
"psim23",0.258,0.028,0.205,0.257,0.316,FALSE,1,1.002,1049,"psim","TATO","7",NA
"N23",218.799,19.941,183,218,261,FALSE,1,1.002,1018,"N","TATO","7","225.0692"
"D23",5.53,0.504,4.625,5.51,6.597,FALSE,1,1.002,1018,"D","TATO","7","5.688831"
