"param","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","model","g","sp","t","mode"
"D",159.445,54.211,41.845,182.565,218.448,3.39,24,"CAM-SC_noinfo_separate",6,"PEMA",15,194.571
"lam0",1.411,0.429,0.71,1.359,2.435,1.46,73,"CAM-SC_noinfo_separate",6,"PEMA",15,1.367
"N",1417.467,481.939,372,1623,1942,3.39,24,"CAM-SC_noinfo_separate",6,"PEMA",15,1729.738
"psi",0.709,0.241,0.186,0.812,0.971,3.4,25,"CAM-SC_noinfo_separate",6,"PEMA",15,0.859
"sigma",5.247,1.377,3.44,4.9,9.04,1.64,62,"CAM-SC_noinfo_separate",6,"PEMA",15,4.86
"D",137.555,57.85,32.958,150.619,222.722,2.35,6,"CAM-SC_noinfo_separate",7,"PEMA",15,223.959
"lam0",1.195,0.434,0.595,1.103,2.235,1.23,40,"CAM-SC_noinfo_separate",7,"PEMA",15,1.063
"N",1222.864,514.289,293,1339,1980,2.35,6,"CAM-SC_noinfo_separate",7,"PEMA",15,1990.994
"psi",0.611,0.257,0.148,0.67,0.991,2.35,7,"CAM-SC_noinfo_separate",7,"PEMA",15,0.995
"sigma",7.94,1.691,5.509,7.67,11.691,1.65,31,"CAM-SC_noinfo_separate",7,"PEMA",15,7.641
"D",165.443,46.607,66.42,173.228,223.285,1.4,15,"CAM-SC_noinfo_separate",8,"PEMA",15,222.868
"lam0",0.808,0.301,0.342,0.759,1.57,1.45,46,"CAM-SC_noinfo_separate",8,"PEMA",15,0.655
"N",1470.784,414.334,590.475,1540,1985,1.4,15,"CAM-SC_noinfo_separate",8,"PEMA",15,1981.296
"psi",0.735,0.207,0.297,0.77,0.992,1.4,15,"CAM-SC_noinfo_separate",8,"PEMA",15,0.991
"sigma",9.844,2.046,6.225,9.601,14.744,1.25,27,"CAM-SC_noinfo_separate",8,"PEMA",15,8.887
"D",29.342,46.069,0.225,3.375,154.165,1.37,17,"CAM-SC_noinfo_separate",1,"PEMA",60,0.833
"lam0",1.579,0.944,0.494,1.284,3.777,3.94,70,"CAM-SC_noinfo_separate",1,"PEMA",60,0.765
"N",260.85,409.555,2,30,1370.525,1.37,17,"CAM-SC_noinfo_separate",1,"PEMA",60,7.404
"psi",0.131,0.205,0.001,0.016,0.685,1.37,18,"CAM-SC_noinfo_separate",1,"PEMA",60,0.003
"sigma",20.599,10.507,4.027,23.397,35.982,1.42,26,"CAM-SC_noinfo_separate",1,"PEMA",60,4.184
"D",135.261,52.007,46.119,144.544,215.973,1.98,16,"CAM-SC_noinfo_separate",2,"PEMA",60,150.609
"lam0",0.794,0.334,0.343,0.718,1.677,1.15,67,"CAM-SC_noinfo_separate",2,"PEMA",60,0.632
"N",1202.468,462.346,410,1285,1920,1.98,16,"CAM-SC_noinfo_separate",2,"PEMA",60,1338.913
"psi",0.601,0.231,0.205,0.642,0.961,1.98,17,"CAM-SC_noinfo_separate",2,"PEMA",60,0.671
"sigma",6.337,1.63,3.912,6.052,10.006,1.41,63,"CAM-SC_noinfo_separate",2,"PEMA",60,5.262
"D",81.964,53.266,15.861,68.223,221.035,3.05,13,"CAM-SC_noinfo_separate",3,"PEMA",60,48.023
"lam0",0.289,0.139,0.072,0.272,0.582,2.05,59,"CAM-SC_noinfo_separate",3,"PEMA",60,0.204
"N",728.662,473.538,141,606.5,1965,3.05,13,"CAM-SC_noinfo_separate",3,"PEMA",60,426.928
"psi",0.364,0.237,0.071,0.304,0.983,3.05,14,"CAM-SC_noinfo_separate",3,"PEMA",60,0.202
"sigma",17.491,4.835,10.529,16.508,29.694,1.25,38,"CAM-SC_noinfo_separate",3,"PEMA",60,16.463
"D",97.103,74.974,0.225,101.687,218.11,8.02,14,"CAM-SC_noinfo_separate",4,"PEMA",60,0.538
"lam0",0.506,0.592,0.096,0.237,2.254,3.63,40,"CAM-SC_noinfo_separate",4,"PEMA",60,0.217
"N",863.248,666.521,2,904,1939,8.02,14,"CAM-SC_noinfo_separate",4,"PEMA",60,4.783
"psi",0.432,0.333,0.001,0.452,0.97,8.03,15,"CAM-SC_noinfo_separate",4,"PEMA",60,0.002
"sigma",39.464,48.892,9.069,14.506,176.156,4.73,44,"CAM-SC_noinfo_separate",4,"PEMA",60,12.008
"D",71.997,61.603,0.225,76.49,188.639,3.77,17,"CAM-SC_noinfo_separate",5,"PEMA",60,0.906
"lam0",0.331,0.443,0.027,0.144,1.774,2.99,24,"CAM-SC_noinfo_separate",5,"PEMA",60,0.085
"N",640.051,547.649,2,680,1677,3.77,17,"CAM-SC_noinfo_separate",5,"PEMA",60,8.058
"psi",0.32,0.274,0.001,0.339,0.837,3.78,19,"CAM-SC_noinfo_separate",5,"PEMA",60,0.003
"sigma",58.026,53.303,12.48,30.124,186.682,2.76,22,"CAM-SC_noinfo_separate",5,"PEMA",60,18.32
"D",96.345,52.835,4.837,99.325,204.724,2.28,16,"CAM-SC_noinfo_separate",6,"PEMA",60,4.487
"lam0",0.775,0.278,0.384,0.727,1.489,1.15,94,"CAM-SC_noinfo_separate",6,"PEMA",60,0.577
"N",856.504,469.701,43,883,1820,2.28,16,"CAM-SC_noinfo_separate",6,"PEMA",60,39.89
"psi",0.428,0.235,0.022,0.441,0.909,2.28,16,"CAM-SC_noinfo_separate",6,"PEMA",60,0.021
"sigma",8.898,6.358,4.035,6.991,31.603,1.88,36,"CAM-SC_noinfo_separate",6,"PEMA",60,5.956
"D",97.471,58.038,23.51,81.777,217.885,3.53,27,"CAM-SC_noinfo_separate",7,"PEMA",60,46.666
"lam0",0.186,0.155,0.025,0.15,0.66,1.44,29,"CAM-SC_noinfo_separate",7,"PEMA",60,0.031
"N",866.513,515.955,209,727,1937,3.53,27,"CAM-SC_noinfo_separate",7,"PEMA",60,414.861
"psi",0.433,0.258,0.104,0.362,0.967,3.53,28,"CAM-SC_noinfo_separate",7,"PEMA",60,0.204
"sigma",19.652,6.134,10.276,18.954,32.692,1.17,22,"CAM-SC_noinfo_separate",7,"PEMA",60,18.974
"D",81.061,64.769,4.049,60.124,211.361,5.64,18,"CAM-SC_noinfo_separate",8,"PEMA",60,4.759
"lam0",0.379,0.207,0.113,0.332,0.955,1.14,43,"CAM-SC_noinfo_separate",8,"PEMA",60,0.255
"N",720.63,575.794,36,534.5,1879,5.64,18,"CAM-SC_noinfo_separate",8,"PEMA",60,42.309
"psi",0.361,0.288,0.018,0.268,0.938,5.63,20,"CAM-SC_noinfo_separate",8,"PEMA",60,0.022
"sigma",20.729,14.016,7.038,15.372,53.678,2.09,18,"CAM-SC_noinfo_separate",8,"PEMA",60,10.471
"D",55.194,51.153,0.337,41.057,179.078,2.62,8,"CAM-SC_noinfo_separate",1,"PEMA",1440,0.718
"lam0",0.147,0.192,0.015,0.082,0.736,1.61,47,"CAM-SC_noinfo_separate",1,"PEMA",1440,0.022
"N",490.672,454.751,3,365,1592,2.62,8,"CAM-SC_noinfo_separate",1,"PEMA",1440,6.382
"psi",0.246,0.227,0.002,0.183,0.795,2.61,9,"CAM-SC_noinfo_separate",1,"PEMA",1440,0.003
