"param","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","model","g","sp","t","mode"
"psi",0.375,0.317,0.012,0.34,0.909,1.62,8,"CAM-SC_noinfo_separate",7,"TATO",1440,0.025
"sigma",121.056,42.475,54.549,117.284,194.888,1.54,30,"CAM-SC_noinfo_separate",7,"TATO",1440,81.459
"D",6.958,4.847,0.828,5.298,17.305,1.49,22,"CAM-SC_noinfo_separate",8,"TATO",1440,3.136
"lam0",0.038,0.034,0.004,0.024,0.132,1.24,19,"CAM-SC_noinfo_separate",8,"TATO",1440,0.017
"N",764.311,532.485,91,582,1901,1.49,22,"CAM-SC_noinfo_separate",8,"TATO",1440,344.463
"psi",0.382,0.266,0.045,0.292,0.951,1.49,24,"CAM-SC_noinfo_separate",8,"TATO",1440,0.177
"sigma",109.635,41.998,45.985,100.755,191.343,1.83,20,"CAM-SC_noinfo_separate",8,"TATO",1440,80.164
"D",7.135,2.971,2.995,7.046,13.983,2.46,80,"CAM-SC_info_separate",1,"TATO",0,3.619
"lam0",5.11,0.818,3.715,5.019,6.822,1.72,97,"CAM-SC_info_separate",1,"TATO",0,4.967
"N",783.732,326.389,329,774,1536,2.46,80,"CAM-SC_info_separate",1,"TATO",0,397.553
"psi",0.392,0.163,0.163,0.388,0.768,2.45,89,"CAM-SC_info_separate",1,"TATO",0,0.204
"sigma",15.094,2.447,10.187,14.923,18.905,2.94,49,"CAM-SC_info_separate",1,"TATO",0,13.086
"D",12.439,2.905,6.609,12.531,17.342,1.54,21,"CAM-SC_info_separate",2,"TATO",0,12.597
"lam0",3.051,0.54,2.174,2.966,4.421,1.4,63,"CAM-SC_info_separate",2,"TATO",0,2.685
"N",1366.476,319.088,726,1376.5,1905,1.54,21,"CAM-SC_info_separate",2,"TATO",0,1383.81
"psi",0.683,0.16,0.363,0.688,0.951,1.54,24,"CAM-SC_info_separate",2,"TATO",0,0.679
"sigma",16.481,1.488,13.749,16.35,19.43,1.33,49,"CAM-SC_info_separate",2,"TATO",0,15.986
"D",12.649,3.076,6.622,13.136,17.751,1.41,15,"CAM-SC_info_separate",3,"TATO",0,13.485
"lam0",3.764,0.635,2.736,3.661,5.236,1.07,58,"CAM-SC_info_separate",3,"TATO",0,3.411
"N",1389.466,337.863,727.475,1443,1950,1.41,15,"CAM-SC_info_separate",3,"TATO",0,1481.336
"psi",0.695,0.169,0.364,0.722,0.975,1.42,16,"CAM-SC_info_separate",3,"TATO",0,0.727
"sigma",14.224,1.513,11.735,14.083,17.187,1.14,34,"CAM-SC_info_separate",3,"TATO",0,13.901
"D",7.679,3.092,3.314,7.119,13.66,1.65,18,"CAM-SC_info_separate",4,"TATO",0,5.069
"lam0",4.127,0.744,2.839,4.1,5.876,1.22,67,"CAM-SC_info_separate",4,"TATO",0,3.776
"N",843.49,339.665,364,782,1500.525,1.65,18,"CAM-SC_info_separate",4,"TATO",0,556.849
"psi",0.422,0.17,0.18,0.39,0.751,1.65,19,"CAM-SC_info_separate",4,"TATO",0,0.269
"sigma",15.548,2.499,11.475,15.348,19.745,1.43,18,"CAM-SC_info_separate",4,"TATO",0,12.856
"D",13.326,2.23,9.003,13.345,17.315,1.26,31,"CAM-SC_info_separate",5,"TATO",0,12.981
"lam0",5.913,0.95,4.318,5.789,7.903,1.27,48,"CAM-SC_info_separate",5,"TATO",0,5.808
"N",1463.915,244.961,989,1466,1902,1.26,31,"CAM-SC_info_separate",5,"TATO",0,1425.988
"psi",0.732,0.122,0.496,0.733,0.951,1.26,32,"CAM-SC_info_separate",5,"TATO",0,0.797
"sigma",14.481,1.086,12.457,14.486,16.595,1.05,39,"CAM-SC_info_separate",5,"TATO",0,13.945
"D",11.641,3.332,4.342,12.107,17.733,2.95,25,"CAM-SC_info_separate",6,"TATO",0,12.681
"lam0",5.156,1.015,3.382,5.099,7.328,1.01,66,"CAM-SC_info_separate",6,"TATO",0,4.861
"N",1278.818,366.017,477,1330,1948,2.95,25,"CAM-SC_info_separate",6,"TATO",0,1392.994
"psi",0.639,0.183,0.238,0.666,0.975,2.95,24,"CAM-SC_info_separate",6,"TATO",0,0.691
"sigma",10.571,1.988,7.916,9.938,15.532,3.03,31,"CAM-SC_info_separate",6,"TATO",0,9.588
"D",13.213,2.907,7.342,13.218,17.77,2.45,30,"CAM-SC_info_separate",7,"TATO",0,15.605
"lam0",6.303,0.948,4.857,6.156,8.422,1.31,52,"CAM-SC_info_separate",7,"TATO",0,5.288
"N",1451.426,319.287,806.475,1452,1952,2.45,30,"CAM-SC_info_separate",7,"TATO",0,1714.255
"psi",0.725,0.16,0.401,0.726,0.976,2.45,31,"CAM-SC_info_separate",7,"TATO",0,0.865
"sigma",17.326,1.344,14.796,17.207,20.237,2.03,28,"CAM-SC_info_separate",7,"TATO",0,16.636
"D",14.449,2.732,7.374,15.048,18.139,1.19,15,"CAM-SC_info_separate",8,"TATO",0,18.19
"lam0",3.732,0.593,2.849,3.62,5.241,1.08,50,"CAM-SC_info_separate",8,"TATO",0,3.38
"N",1587.212,300.121,810,1653,1992.525,1.19,15,"CAM-SC_info_separate",8,"TATO",0,1998.223
"psi",0.793,0.15,0.401,0.826,0.996,1.2,17,"CAM-SC_info_separate",8,"TATO",0,0.999
"sigma",17.613,1.518,15.029,17.489,21.168,1.12,39,"CAM-SC_info_separate",8,"TATO",0,17.675
"D",17.77,0.441,16.614,17.897,18.198,1.08,86,"CAM-SC_info_separate",1,"TATO",15,18.095
"lam0",2.149,0.311,1.678,2.11,2.925,1.13,256,"CAM-SC_info_separate",1,"TATO",15,2.11
"N",1951.996,48.414,1825,1966,1999,1.08,86,"CAM-SC_info_separate",1,"TATO",15,1987.71
"psi",0.976,0.024,0.911,0.983,0.999,1.09,82,"CAM-SC_info_separate",1,"TATO",15,0.995
"sigma",5.774,0.45,4.892,5.76,6.662,1.01,199,"CAM-SC_info_separate",1,"TATO",15,5.584
"D",17.742,0.504,16.24,17.915,18.198,1.1,58,"CAM-SC_info_separate",2,"TATO",15,18.158
"lam0",3.35,0.364,2.693,3.333,4.129,1.04,223,"CAM-SC_info_separate",2,"TATO",15,3.247
"N",1948.935,55.312,1784,1968,1999,1.1,58,"CAM-SC_info_separate",2,"TATO",15,1994.608
"psi",0.974,0.028,0.89,0.984,0.999,1.1,61,"CAM-SC_info_separate",2,"TATO",15,0.998
"sigma",6.515,0.463,5.642,6.498,7.453,1.1,152,"CAM-SC_info_separate",2,"TATO",15,6.407
"D",17.759,0.438,16.559,17.897,18.198,1.07,70,"CAM-SC_info_separate",3,"TATO",15,18.151
"lam0",2.525,0.327,2.001,2.487,3.263,1.04,207,"CAM-SC_info_separate",3,"TATO",15,2.538
"N",1950.772,48.106,1819,1966,1999,1.07,70,"CAM-SC_info_separate",3,"TATO",15,1993.913
"psi",0.975,0.024,0.909,0.983,0.999,1.07,66,"CAM-SC_info_separate",3,"TATO",15,0.998
"sigma",6.121,0.487,5.202,6.108,7.095,1.02,152,"CAM-SC_info_separate",3,"TATO",15,6.106
"D",17.591,0.578,15.953,17.77,18.179,1.06,65,"CAM-SC_info_separate",4,"TATO",15,18.011
"lam0",2.404,0.43,1.765,2.33,3.491,1.11,182,"CAM-SC_info_separate",4,"TATO",15,2.308
"N",1932.317,63.461,1752.475,1952,1997,1.06,65,"CAM-SC_info_separate",4,"TATO",15,1978.456
"psi",0.966,0.032,0.875,0.975,0.998,1.06,60,"CAM-SC_info_separate",4,"TATO",15,0.992
"sigma",4.824,0.371,4.108,4.823,5.56,1.02,201,"CAM-SC_info_separate",4,"TATO",15,4.869
"D",17.841,0.323,17.023,17.924,18.198,1.06,110,"CAM-SC_info_separate",5,"TATO",15,18.198
"lam0",4.747,0.518,3.848,4.725,5.905,1.03,120,"CAM-SC_info_separate",5,"TATO",15,4.755
"N",1959.887,35.468,1870,1969,1999,1.06,110,"CAM-SC_info_separate",5,"TATO",15,1999
"psi",0.98,0.018,0.935,0.984,0.999,1.06,102,"CAM-SC_info_separate",5,"TATO",15,0.999
"sigma",6.569,0.484,5.677,6.564,7.515,1.23,92,"CAM-SC_info_separate",5,"TATO",15,6.885
"D",17.551,0.579,16.076,17.724,18.188,1.02,79,"CAM-SC_info_separate",6,"TATO",15,18.163
"lam0",2.168,0.406,1.557,2.102,3.134,1.07,188,"CAM-SC_info_separate",6,"TATO",15,2.048
"N",1927.972,63.556,1766,1947,1998,1.02,79,"CAM-SC_info_separate",6,"TATO",15,1995.226
"psi",0.963,0.032,0.883,0.973,0.999,1.02,74,"CAM-SC_info_separate",6,"TATO",15,0.998
"sigma",4.893,0.4,4.161,4.872,5.749,1.01,201,"CAM-SC_info_separate",6,"TATO",15,4.804
"D",17.703,0.506,16.377,17.861,18.207,1.06,66,"CAM-SC_info_separate",7,"TATO",15,18.197
"lam0",5.914,0.934,4.638,5.7,8.19,1.41,111,"CAM-SC_info_separate",7,"TATO",15,5.507
"N",1944.676,55.575,1799,1962,2000,1.06,66,"CAM-SC_info_separate",7,"TATO",15,1998.954
"psi",0.972,0.028,0.899,0.981,1,1.06,66,"CAM-SC_info_separate",7,"TATO",15,0.998
"sigma",6.832,0.442,5.941,6.823,7.694,1.29,104,"CAM-SC_info_separate",7,"TATO",15,6.616
"D",17.885,0.311,17.023,17.979,18.198,1.08,115,"CAM-SC_info_separate",8,"TATO",15,18.16
"lam0",4.032,0.495,3.213,3.976,5.197,1.03,107,"CAM-SC_info_separate",8,"TATO",15,3.743
"N",1964.617,34.157,1870,1975,1999,1.08,115,"CAM-SC_info_separate",8,"TATO",15,1994.852
"psi",0.982,0.017,0.934,0.987,0.999,1.08,116,"CAM-SC_info_separate",8,"TATO",15,0.998
"sigma",6.571,0.479,5.703,6.537,7.542,1.02,112,"CAM-SC_info_separate",8,"TATO",15,6.535
"D",17.795,0.413,16.695,17.915,18.198,1.15,88,"CAM-SC_info_separate",1,"TATO",60,18.18
"lam0",1.622,0.251,1.224,1.59,2.209,1.07,256,"CAM-SC_info_separate",1,"TATO",60,1.581
"N",1954.752,45.329,1834,1968,1999,1.15,88,"CAM-SC_info_separate",1,"TATO",60,1997.087
"psi",0.977,0.023,0.916,0.984,0.999,1.15,80,"CAM-SC_info_separate",1,"TATO",60,0.998
"sigma",5.995,0.453,5.107,5.989,6.927,1.01,249,"CAM-SC_info_separate",1,"TATO",60,5.944
"D",17.807,0.4,16.723,17.952,18.207,1.02,79,"CAM-SC_info_separate",2,"TATO",60,18.201
"lam0",2.355,0.314,1.832,2.331,3.064,1.15,186,"CAM-SC_info_separate",2,"TATO",60,2.224
"N",1956.077,43.988,1837,1972,2000,1.02,79,"CAM-SC_info_separate",2,"TATO",60,1999.405
"psi",0.978,0.022,0.917,0.985,1,1.02,80,"CAM-SC_info_separate",2,"TATO",60,0.996
"sigma",6.259,0.458,5.401,6.258,7.202,1.06,195,"CAM-SC_info_separate",2,"TATO",60,6.405
"D",17.748,0.439,16.604,17.897,18.198,1.36,124,"CAM-SC_info_separate",3,"TATO",60,18.1
"lam0",1.969,0.276,1.528,1.932,2.656,1.04,235,"CAM-SC_info_separate",3,"TATO",60,1.836
"N",1949.656,48.245,1824,1966,1999,1.36,124,"CAM-SC_info_separate",3,"TATO",60,1988.335
"psi",0.974,0.024,0.911,0.983,0.999,1.37,114,"CAM-SC_info_separate",3,"TATO",60,0.999
"sigma",6.059,0.451,5.187,6.054,6.944,1.03,207,"CAM-SC_info_separate",3,"TATO",60,6.163
"D",17.694,0.513,16.168,17.852,18.198,1.06,74,"CAM-SC_info_separate",4,"TATO",60,18.154
"lam0",1.617,0.283,1.163,1.576,2.292,1.02,310,"CAM-SC_info_separate",4,"TATO",60,1.49
"N",1943.728,56.383,1776,1961,1999,1.06,74,"CAM-SC_info_separate",4,"TATO",60,1994.175
"psi",0.971,0.028,0.886,0.98,0.999,1.06,63,"CAM-SC_info_separate",4,"TATO",60,0.998
"sigma",5.395,0.463,4.502,5.399,6.305,1.04,251,"CAM-SC_info_separate",4,"TATO",60,5.412
"D",17.776,0.458,16.504,17.934,18.198,1.22,82,"CAM-SC_info_separate",5,"TATO",60,18.19
"lam0",3.022,0.342,2.439,2.995,3.805,1.02,185,"CAM-SC_info_separate",5,"TATO",60,2.938
"N",1952.698,50.349,1813,1970,1999,1.22,82,"CAM-SC_info_separate",5,"TATO",60,1998.189
"psi",0.976,0.025,0.905,0.985,0.999,1.22,73,"CAM-SC_info_separate",5,"TATO",60,0.999
"sigma",6.406,0.484,5.436,6.407,7.349,1.1,136,"CAM-SC_info_separate",5,"TATO",60,6.338
"D",17.629,0.519,16.286,17.788,18.188,1.13,79,"CAM-SC_info_separate",6,"TATO",60,18.097
"lam0",1.534,0.255,1.125,1.503,2.094,1.01,321,"CAM-SC_info_separate",6,"TATO",60,1.395
"N",1936.564,57.059,1789,1954,1998,1.13,79,"CAM-SC_info_separate",6,"TATO",60,1987.928
"psi",0.968,0.029,0.892,0.977,0.998,1.13,79,"CAM-SC_info_separate",6,"TATO",60,0.998
"sigma",5.448,0.441,4.61,5.443,6.365,1,301,"CAM-SC_info_separate",6,"TATO",60,5.452
"D",17.782,0.41,16.677,17.906,18.198,1.07,86,"CAM-SC_info_separate",7,"TATO",60,18.195
"lam0",2.434,0.274,1.954,2.42,3.017,1.03,262,"CAM-SC_info_separate",7,"TATO",60,2.394
"N",1953.395,45.051,1832,1967,1999,1.07,86,"CAM-SC_info_separate",7,"TATO",60,1998.71
"psi",0.976,0.023,0.915,0.983,0.999,1.07,83,"CAM-SC_info_separate",7,"TATO",60,0.999
"sigma",6.665,0.493,5.716,6.672,7.634,1.08,152,"CAM-SC_info_separate",7,"TATO",60,6.814
"D",17.783,0.379,16.787,17.888,18.198,1.06,99,"CAM-SC_info_separate",8,"TATO",60,18.185
"lam0",2.672,0.319,2.124,2.642,3.379,1.04,211,"CAM-SC_info_separate",8,"TATO",60,2.607
"N",1953.446,41.635,1844,1965,1999,1.06,99,"CAM-SC_info_separate",8,"TATO",60,1997.594
"psi",0.976,0.021,0.92,0.982,0.999,1.06,100,"CAM-SC_info_separate",8,"TATO",60,0.999
"sigma",6.368,0.473,5.505,6.354,7.336,1.01,164,"CAM-SC_info_separate",8,"TATO",60,6.273
"D",17.751,0.505,16.427,17.888,18.198,1.3,89,"CAM-SC_info_separate",1,"TATO",1440,18.201
"lam0",0.867,0.13,0.652,0.852,1.159,1,661,"CAM-SC_info_separate",1,"TATO",1440,0.843
"N",1949.898,55.465,1804.475,1965,1999,1.3,89,"CAM-SC_info_separate",1,"TATO",1440,1999.369
"psi",0.974,0.028,0.902,0.982,1,1.3,90,"CAM-SC_info_separate",1,"TATO",1440,0.999
"sigma",6.031,0.464,5.141,6.031,6.953,1.02,452,"CAM-SC_info_separate",1,"TATO",1440,6.137
"D",17.779,0.426,16.641,17.906,18.198,1.06,88,"CAM-SC_info_separate",2,"TATO",1440,18.196
"lam0",1.06,0.137,0.829,1.049,1.362,1,652,"CAM-SC_info_separate",2,"TATO",1440,1.014
"N",1952.999,46.794,1828,1967,1999,1.06,88,"CAM-SC_info_separate",2,"TATO",1440,1998.844
"psi",0.976,0.024,0.913,0.983,0.999,1.06,82,"CAM-SC_info_separate",2,"TATO",1440,0.999
"sigma",6.253,0.477,5.374,6.232,7.231,1.01,339,"CAM-SC_info_separate",2,"TATO",1440,6.243
"D",17.702,0.509,16.368,17.852,18.198,1.28,91,"CAM-SC_info_separate",3,"TATO",1440,18.197
"lam0",1.046,0.157,0.784,1.031,1.391,1.01,493,"CAM-SC_info_separate",3,"TATO",1440,1.019
"N",1944.518,55.906,1798,1961,1999,1.28,91,"CAM-SC_info_separate",3,"TATO",1440,1998.992
"psi",0.972,0.028,0.898,0.98,0.999,1.28,89,"CAM-SC_info_separate",3,"TATO",1440,0.998
"sigma",6.171,0.48,5.287,6.16,7.14,1.08,384,"CAM-SC_info_separate",3,"TATO",1440,6.169
"D",17.689,0.517,16.259,17.852,18.198,1.34,90,"CAM-SC_info_separate",4,"TATO",1440,18.192
"lam0",0.933,0.172,0.656,0.909,1.345,1,533,"CAM-SC_info_separate",4,"TATO",1440,0.868
"N",1943.128,56.826,1786,1961,1999,1.34,90,"CAM-SC_info_separate",4,"TATO",1440,1998.385
"psi",0.971,0.029,0.892,0.98,0.999,1.34,93,"CAM-SC_info_separate",4,"TATO",1440,0.999
"sigma",5.4,0.448,4.601,5.378,6.34,1.04,415,"CAM-SC_info_separate",4,"TATO",1440,5.29
"D",17.822,0.357,16.923,17.924,18.198,1.04,119,"CAM-SC_info_separate",5,"TATO",1440,18.205
"lam0",1.349,0.167,1.078,1.333,1.703,1.01,460,"CAM-SC_info_separate",5,"TATO",1440,1.284
"N",1957.765,39.213,1859,1969,1999,1.04,119,"CAM-SC_info_separate",5,"TATO",1440,1999.804
"psi",0.978,0.02,0.929,0.984,0.999,1.04,103,"CAM-SC_info_separate",5,"TATO",1440,0.999
"sigma",6.469,0.503,5.515,6.468,7.47,1.02,286,"CAM-SC_info_separate",5,"TATO",1440,6.592
"D",17.672,0.576,16.104,17.861,18.198,1.03,67,"CAM-SC_info_separate",6,"TATO",1440,18.194
"lam0",0.957,0.173,0.677,0.932,1.356,1,551,"CAM-SC_info_separate",6,"TATO",1440,0.895
"N",1941.263,63.258,1769,1962,1999,1.03,67,"CAM-SC_info_separate",6,"TATO",1440,1998.659
"psi",0.97,0.032,0.884,0.98,0.999,1.03,72,"CAM-SC_info_separate",6,"TATO",1440,0.997
"sigma",5.106,0.389,4.368,5.095,5.898,1,483,"CAM-SC_info_separate",6,"TATO",1440,5.131
"D",17.708,0.452,16.459,17.843,18.188,1.08,111,"CAM-SC_info_separate",7,"TATO",1440,17.995
"lam0",1.111,0.16,0.845,1.094,1.476,1.02,436,"CAM-SC_info_separate",7,"TATO",1440,1.081
"N",1945.218,49.674,1808,1960,1998,1.08,111,"CAM-SC_info_separate",7,"TATO",1440,1976.736
"psi",0.972,0.025,0.903,0.979,0.999,1.09,108,"CAM-SC_info_separate",7,"TATO",1440,0.997
"sigma",6.417,0.472,5.535,6.391,7.406,1,350,"CAM-SC_info_separate",7,"TATO",1440,6.387
"D",17.76,0.402,16.695,17.87,18.198,1.11,84,"CAM-SC_info_separate",8,"TATO",1440,18.189
"lam0",1.217,0.156,0.954,1.203,1.554,1.01,485,"CAM-SC_info_separate",8,"TATO",1440,1.174
"N",1950.93,44.165,1834,1963,1999,1.11,84,"CAM-SC_info_separate",8,"TATO",1440,1998.08
"psi",0.975,0.022,0.915,0.981,0.999,1.11,82,"CAM-SC_info_separate",8,"TATO",1440,0.999
"sigma",6.359,0.475,5.448,6.36,7.303,1.01,323,"CAM-SC_info_separate",8,"TATO",1440,6.376
"D",4.989,2.113,2.731,4.397,11.297,1.01,94,"CAM-SC_noinfo_separate",1,"GLSA",0,4.17
"lam0",5.877,1.023,4.176,5.776,8.119,1.14,85,"CAM-SC_noinfo_separate",1,"GLSA",0,4.919
"N",548.093,232.122,300,483,1241,1.01,94,"CAM-SC_noinfo_separate",1,"GLSA",0,458.057
"psi",0.274,0.116,0.15,0.242,0.619,1.01,99,"CAM-SC_noinfo_separate",1,"GLSA",0,0.227
"sigma",12.28,1.625,7.972,12.521,14.646,1.07,39,"CAM-SC_noinfo_separate",1,"GLSA",0,12.331
"D",4.567,1.328,2.54,4.351,7.369,1.67,64,"CAM-SC_noinfo_separate",2,"GLSA",0,3.899
"lam0",6.106,1.333,3.812,6.046,9.191,1.14,106,"CAM-SC_noinfo_separate",2,"GLSA",0,6.247
"N",501.712,145.856,279,478,809.525,1.67,64,"CAM-SC_noinfo_separate",2,"GLSA",0,428.297
"psi",0.251,0.073,0.139,0.239,0.405,1.66,72,"CAM-SC_noinfo_separate",2,"GLSA",0,0.214
"sigma",9.424,1.418,6.991,9.572,11.847,1.93,30,"CAM-SC_noinfo_separate",2,"GLSA",0,10.42
"D",8.119,3.458,3.55,7.328,15.011,2.65,42,"CAM-SC_noinfo_separate",3,"GLSA",0,4.622
"lam0",4.816,0.913,3.336,4.714,6.849,1.14,79,"CAM-SC_noinfo_separate",3,"GLSA",0,4.259
"N",891.859,379.849,390,805,1649,2.65,42,"CAM-SC_noinfo_separate",3,"GLSA",0,507.673
"psi",0.446,0.19,0.193,0.403,0.822,2.64,46,"CAM-SC_noinfo_separate",3,"GLSA",0,0.256
"sigma",11.45,2.5,7.533,11.407,15.679,2.83,40,"CAM-SC_noinfo_separate",3,"GLSA",0,8.48
"D",11.62,3.919,4.816,11.197,18.034,1.87,12,"CAM-SC_noinfo_separate",4,"GLSA",0,18.023
"lam0",3.368,0.654,2.231,3.334,4.729,1.14,130,"CAM-SC_noinfo_separate",4,"GLSA",0,3.127
"N",1276.511,430.509,529,1230,1981,1.87,12,"CAM-SC_noinfo_separate",4,"GLSA",0,1979.88
"psi",0.638,0.215,0.265,0.615,0.99,1.87,12,"CAM-SC_noinfo_separate",4,"GLSA",0,0.988
"sigma",7.871,1.524,5.348,7.706,11.197,1.69,30,"CAM-SC_noinfo_separate",4,"GLSA",0,7.132
"D",5.873,1.443,3.536,5.671,9.122,1.18,80,"CAM-SC_noinfo_separate",5,"GLSA",0,5.268
"lam0",4.948,1.181,3.228,4.748,7.797,1.05,83,"CAM-SC_noinfo_separate",5,"GLSA",0,3.774
"N",645.165,158.523,388.475,623,1002,1.18,80,"CAM-SC_noinfo_separate",5,"GLSA",0,578.655
"psi",0.323,0.08,0.194,0.313,0.502,1.18,87,"CAM-SC_noinfo_separate",5,"GLSA",0,0.29
"sigma",9.212,1.02,7.261,9.184,11.351,1.11,68,"CAM-SC_noinfo_separate",5,"GLSA",0,9.256
"D",9.321,3.531,3.386,9.395,15.812,1.81,15,"CAM-SC_noinfo_separate",6,"GLSA",0,9.601
"lam0",3.674,1.109,2.13,3.458,6.361,1.05,90,"CAM-SC_noinfo_separate",6,"GLSA",0,2.744
"N",1023.904,387.909,372,1032,1737,1.81,15,"CAM-SC_noinfo_separate",6,"GLSA",0,1054.709
"psi",0.512,0.194,0.184,0.516,0.869,1.81,15,"CAM-SC_noinfo_separate",6,"GLSA",0,0.728
"sigma",6.869,1.553,4.663,6.497,10.539,1.64,28,"CAM-SC_noinfo_separate",6,"GLSA",0,5.471
"D",7.667,3.357,3.15,6.937,15.894,1.1,28,"CAM-SC_noinfo_separate",7,"GLSA",0,6.966
"lam0",3.459,0.96,2.096,3.322,5.967,1.01,129,"CAM-SC_noinfo_separate",7,"GLSA",0,3.221
"N",842.207,368.726,346,762,1746,1.1,28,"CAM-SC_noinfo_separate",7,"GLSA",0,765.213
"psi",0.421,0.184,0.172,0.381,0.874,1.1,30,"CAM-SC_noinfo_separate",7,"GLSA",0,0.306
"sigma",7.304,1.424,4.841,7.298,9.996,1.06,41,"CAM-SC_noinfo_separate",7,"GLSA",0,7.244
"D",12.496,3.687,5.981,12.863,18.079,1.34,12,"CAM-SC_noinfo_separate",8,"GLSA",0,18.079
"lam0",5.02,1.342,3.002,4.826,8.482,1.18,93,"CAM-SC_noinfo_separate",8,"GLSA",0,4.327
"N",1372.735,405.072,657,1413,1986,1.34,12,"CAM-SC_noinfo_separate",8,"GLSA",0,1986.004
"psi",0.686,0.202,0.328,0.707,0.992,1.34,12,"CAM-SC_noinfo_separate",8,"GLSA",0,0.994
"sigma",6.904,1.159,5.189,6.695,9.369,1.27,32,"CAM-SC_noinfo_separate",8,"GLSA",0,5.807
"D",7.101,2.932,2.54,6.827,13.254,2.09,20,"CAM-SC_noinfo_separate",1,"GLSA",15,3.701
"lam0",0.497,0.136,0.271,0.483,0.807,1.13,166,"CAM-SC_noinfo_separate",1,"GLSA",15,0.442
"N",780.013,322.041,279,750,1456,2.09,20,"CAM-SC_noinfo_separate",1,"GLSA",15,406.501
"psi",0.39,0.161,0.139,0.375,0.729,2.09,20,"CAM-SC_noinfo_separate",1,"GLSA",15,0.199
"sigma",19.015,3.479,12.841,18.82,25.871,1.74,76,"CAM-SC_noinfo_separate",1,"GLSA",15,17.199
"D",2.898,1.271,1.338,2.722,5.658,1.06,103,"CAM-SC_noinfo_separate",2,"GLSA",15,2.828
"lam0",0.927,0.208,0.593,0.903,1.393,1,341,"CAM-SC_noinfo_separate",2,"GLSA",15,0.868
"N",318.378,139.648,147,299,621.525,1.06,103,"CAM-SC_noinfo_separate",2,"GLSA",15,310.651
"psi",0.16,0.07,0.072,0.15,0.316,1.06,108,"CAM-SC_noinfo_separate",2,"GLSA",15,0.149
"sigma",18.571,3.082,12.849,18.698,24.074,1.05,135,"CAM-SC_noinfo_separate",2,"GLSA",15,17.982
"D",6.558,3.166,1.52,6.454,12.663,1.83,21,"CAM-SC_noinfo_separate",3,"GLSA",15,7.208
"lam0",0.648,0.222,0.34,0.598,1.173,1.6,113,"CAM-SC_noinfo_separate",3,"GLSA",15,0.537
"N",720.376,347.781,167,709,1391,1.83,21,"CAM-SC_noinfo_separate",3,"GLSA",15,791.81
"psi",0.36,0.174,0.084,0.355,0.696,1.83,21,"CAM-SC_noinfo_separate",3,"GLSA",15,0.389
"sigma",19.317,3.462,13.729,18.907,26.62,1.65,78,"CAM-SC_noinfo_separate",3,"GLSA",15,17.281
"D",13.523,2.773,7.783,13.701,17.742,1.08,17,"CAM-SC_noinfo_separate",4,"GLSA",15,17.098
"lam0",0.877,0.194,0.559,0.859,1.302,1.01,262,"CAM-SC_noinfo_separate",4,"GLSA",15,0.812
"N",1485.452,304.606,855,1505,1949,1.08,17,"CAM-SC_noinfo_separate",4,"GLSA",15,1878.259
"psi",0.743,0.152,0.427,0.752,0.974,1.08,17,"CAM-SC_noinfo_separate",4,"GLSA",15,0.944
"sigma",9.177,1.321,6.932,9.027,12.055,1.07,134,"CAM-SC_noinfo_separate",4,"GLSA",15,8.208
"D",6.865,2.634,3.031,6.363,12.845,1.14,26,"CAM-SC_noinfo_separate",5,"GLSA",15,5.682
"lam0",0.959,0.201,0.601,0.943,1.393,1.02,345,"CAM-SC_noinfo_separate",5,"GLSA",15,0.929
"N",754.112,289.318,333,699,1411,1.14,26,"CAM-SC_noinfo_separate",5,"GLSA",15,624.119
"psi",0.377,0.145,0.167,0.349,0.703,1.14,27,"CAM-SC_noinfo_separate",5,"GLSA",15,0.32
"sigma",12.072,2.272,7.79,12.197,16.46,1.06,79,"CAM-SC_noinfo_separate",5,"GLSA",15,12.92
"D",5.941,2.939,1.921,5.216,12.899,1.4,29,"CAM-SC_noinfo_separate",6,"GLSA",15,4.13
"lam0",0.659,0.174,0.388,0.639,1.055,1.03,328,"CAM-SC_noinfo_separate",6,"GLSA",15,0.684
"N",652.574,322.828,211,573,1417,1.4,29,"CAM-SC_noinfo_separate",6,"GLSA",15,453.658
"psi",0.327,0.162,0.105,0.287,0.708,1.4,30,"CAM-SC_noinfo_separate",6,"GLSA",15,0.174
"sigma",12.454,3.131,6.959,12.459,18.742,1.25,84,"CAM-SC_noinfo_separate",6,"GLSA",15,11.208
"D",2.529,1.386,0.756,2.249,6.026,1.38,48,"CAM-SC_noinfo_separate",7,"GLSA",15,1.603
"lam0",0.552,0.145,0.309,0.539,0.871,1,365,"CAM-SC_noinfo_separate",7,"GLSA",15,0.474
"N",277.783,152.23,83,247,662,1.38,48,"CAM-SC_noinfo_separate",7,"GLSA",15,176.094
"psi",0.139,0.076,0.041,0.124,0.331,1.38,50,"CAM-SC_noinfo_separate",7,"GLSA",15,0.085
"sigma",19.914,5.163,10.907,19.454,31.158,1.28,72,"CAM-SC_noinfo_separate",7,"GLSA",15,19.617
"D",10.157,2.948,4.488,10.269,15.485,2.39,34,"CAM-SC_noinfo_separate",8,"GLSA",15,11.807
"lam0",0.801,0.196,0.487,0.775,1.245,1.05,213,"CAM-SC_noinfo_separate",8,"GLSA",15,0.703
